sensor_id,fromDateTime0,tillDateTime0,fromDateTime,tillDateTime,avgDateTime,pm1,pm25,pm10,humidity,temperature,pressure,airQualityIndex,pollutionLevel,dt
388,2019-11-30T23:00:00.000Z,2019-12-01T00:00:00.000Z,2019-12-01 00:00:00,2019-12-01 01:00:00,2019-12-01 00:00:00,63.38,101.13,176.14,75.22,-1.79,1022.23,98.93,-2,2019-12-02 00:00:11
388,2019-12-01T00:00:00.000Z,2019-12-01T01:00:00.000Z,2019-12-01 01:00:00,2019-12-01 02:00:00,2019-12-01 01:00:00,67.95,108.02,186.83,83.81,-2.21,1022.42,101.9,-2,2019-12-02 01:00:16
388,2019-12-01T01:00:00.000Z,2019-12-01T02:00:00.000Z,2019-12-01 02:00:00,2019-12-01 03:00:00,2019-12-01 02:00:00,57.35,90.76,156.94,85.45,-2.81,1022.45,93.59,-2,2019-12-02 02:00:11
388,2019-12-01T02:00:00.000Z,2019-12-01T03:00:00.000Z,2019-12-01 03:00:00,2019-12-01 04:00:00,2019-12-01 03:00:00,33.51,53.67,98.71,80.36,-1.97,1022.4,77.42,-2,2019-12-02 03:00:12
388,2019-12-01T03:00:00.000Z,2019-12-01T04:00:00.000Z,2019-12-01 04:00:00,2019-12-01 05:00:00,2019-12-01 04:00:00,27.68,44.58,86.71,74.77,-0.68,1022.57,72.94,-2,2019-12-02 04:00:09
388,2019-12-01T04:00:00.000Z,2019-12-01T05:00:00.000Z,2019-12-01 05:00:00,2019-12-01 06:00:00,2019-12-01 05:00:00,29.95,48.13,91.16,85.09,-1.25,1022.59,75.32,-2,2019-12-02 05:00:08
388,2019-12-01T05:00:00.000Z,2019-12-01T06:00:00.000Z,2019-12-01 06:00:00,2019-12-01 07:00:00,2019-12-01 06:00:00,31.57,50.32,93.18,87.21,-1.94,1022.74,75.88,-2,2019-12-02 06:00:09
388,2019-12-01T06:00:00.000Z,2019-12-01T07:00:00.000Z,2019-12-01 07:00:00,2019-12-01 08:00:00,2019-12-01 07:00:00,37.33,60.15,107.37,85.42,-1.81,1022.88,79.82,-2,2019-12-02 07:00:16
388,2019-12-01T07:00:00.000Z,2019-12-01T08:00:00.000Z,2019-12-01 08:00:00,2019-12-01 09:00:00,2019-12-01 08:00:00,48.1,78.03,137.64,90.36,-2.11,1022.98,88.23,-2,2019-12-02 08:00:11
388,2019-12-01T08:00:00.000Z,2019-12-01T09:00:00.000Z,2019-12-01 09:00:00,2019-12-01 10:00:00,2019-12-01 09:00:00,26.33,42.41,82.77,89.91,-2,1022.92,70.48,-2,2019-12-02 09:00:12
388,2019-12-01T09:00:00.000Z,2019-12-01T10:00:00.000Z,2019-12-01 10:00:00,2019-12-01 11:00:00,2019-12-01 10:00:00,22.93,36.79,72.18,80.8,-0.2,1022.55,63.86,-2,2019-12-02 10:00:11
388,2019-12-01T10:00:00.000Z,2019-12-01T11:00:00.000Z,2019-12-01 11:00:00,2019-12-01 12:00:00,2019-12-01 11:00:00,19.25,29.86,59.63,73.74,1.25,1022.22,56.02,-2,2019-12-02 11:00:12
388,2019-12-01T11:00:00.000Z,2019-12-01T12:00:00.000Z,2019-12-01 12:00:00,2019-12-01 13:00:00,2019-12-01 12:00:00,11.01,15.93,30.19,68.47,1.93,1022.16,30.19,-2,2019-12-02 12:00:12
388,2019-12-01T12:00:00.000Z,2019-12-01T13:00:00.000Z,2019-12-01 13:00:00,2019-12-01 14:00:00,2019-12-01 13:00:00,8.09,11.24,20.83,66.42,2.63,1021.83,20.83,-2,2019-12-02 13:00:11
388,2019-12-01T13:00:00.000Z,2019-12-01T14:00:00.000Z,2019-12-01 14:00:00,2019-12-01 15:00:00,2019-12-01 14:00:00,12.15,17.52,33.98,65.41,3.56,1021.11,33.98,-2,2019-12-02 14:00:12
388,2019-12-01T14:00:00.000Z,2019-12-01T15:00:00.000Z,2019-12-01 15:00:00,2019-12-01 16:00:00,2019-12-01 15:00:00,28.22,44.45,82.81,64.37,2.43,1021.19,70.51,-2,2019-12-02 15:00:09
